neutral,maskulinum,femininum,inkl_Doppelpunkt,inkl_Unterstrich,inkl_Sternchen,inkl_Schrägstrich,inkl_Grossbuchstaben
"Die Interessen vertretende Person arbeitete daran, die Interessen derer Klientel in der Politik zu vertreten.","Der Lobbyist arbeitete daran, die Interessen seiner Klientel in der Politik zu vertreten.","Die Lobbyistin arbeitete daran, die Interessen ihrer Klientel in der Politik zu vertreten.","Dier Lobbyist:in arbeitete daran, die Interessen derer Klientel in der Politik zu vertreten.","Dier Lobbyist_in arbeitete daran, die Interessen derer Klientel in der Politik zu vertreten.","Dier Lobbyist*in arbeitete daran, die Interessen derer Klientel in der Politik zu vertreten.","Dier Lobbyist/in arbeitete daran, die Interessen derer Klientel in der Politik zu vertreten.","Dier LobbyistIn arbeitete daran, die Interessen derer Klientel in der Politik zu vertreten."
"Die (medizinische) Fachkraft für Logopädie half den Kindern, ihre Sprachfähigkeiten zu verbessern und ihre Aussprache zu trainieren.","Der Logopäde half den Kindern, ihre Sprachfähigkeiten zu verbessern und ihre Aussprache zu trainieren.","Die Logopädin half den Kindern, ihre Sprachfähigkeiten zu verbessern und ihre Aussprache zu trainieren.","Dier Logopäd:in half den Kindern, ihre Sprachfähigkeiten zu verbessern und ihre Aussprache zu trainieren.","Dier Logopäd_in half den Kindern, ihre Sprachfähigkeiten zu verbessern und ihre Aussprache zu trainieren.","Dier Logopäd*in half den Kindern, ihre Sprachfähigkeiten zu verbessern und ihre Aussprache zu trainieren.","Dier Logopäd/in half den Kindern, ihre Sprachfähigkeiten zu verbessern und ihre Aussprache zu trainieren.","Dier LogopädIn half den Kindern, ihre Sprachfähigkeiten zu verbessern und ihre Aussprache zu trainieren."
Als Laborfachkraft unterstützt dey bei Experimenten und sorgt für die Sauberkeit des Labors.,Als Laborarbeiter unterstützt er bei Experimenten und sorgt für die Sauberkeit des Labors.,Als Laborarbeiterin unterstützt sie bei Experimenten und sorgt für die Sauberkeit des Labors.,Als Laborarbeiter:in unterstützt dey bei Experimenten und sorgt für die Sauberkeit des Labors.,Als Laborarbeiter_in unterstützt dey bei Experimenten und sorgt für die Sauberkeit des Labors.,Als Laborarbeiter*in unterstützt dey bei Experimenten und sorgt für die Sauberkeit des Labors.,Als Laborarbeiter/in unterstützt dey bei Experimenten und sorgt für die Sauberkeit des Labors.,Als LaborarbeiterIn unterstützt dey bei Experimenten und sorgt für die Sauberkeit des Labors.
"Die landnutzende Person bewirtschaftet deren Grundstück nachhaltig, um die Bodenqualität zu erhalten.","Der Landnutzer bewirtschaftet sein Grundstück nachhaltig, um die Bodenqualität zu erhalten.","Die Landnutzerin bewirtschaftet ihr Grundstück nachhaltig, um die Bodenqualität zu erhalten.","Dier Landnutzer:in bewirtschaftet deren Grundstück nachhaltig, um die Bodenqualität zu erhalten.","Dier Landnutzer_in bewirtschaftet deren Grundstück nachhaltig, um die Bodenqualität zu erhalten.","Dier Landnutzer*in bewirtschaftet deren Grundstück nachhaltig, um die Bodenqualität zu erhalten.","Dier Landnutzer/in bewirtschaftet deren Grundstück nachhaltig, um die Bodenqualität zu erhalten.","Dier LandnutzerIn bewirtschaftet deren Grundstück nachhaltig, um die Bodenqualität zu erhalten."
Die Lastkraftwagen fahrende Person lieferte die Waren pünktlich an die verschiedenen Supermärkte.,Der Lastkraftwagenfahrer lieferte die Waren pünktlich an die verschiedenen Supermärkte.,Die Lastkraftwagenfahrerin lieferte die Waren pünktlich an die verschiedenen Supermärkte.,Dier Lastkraftwagenfahrer:in lieferte die Waren pünktlich an die verschiedenen Supermärkte.,Dier Lastkraftwagenfahrer_in lieferte die Waren pünktlich an die verschiedenen Supermärkte.,Dier Lastkraftwagenfahrer*in lieferte die Waren pünktlich an die verschiedenen Supermärkte.,Dier Lastkraftwagenfahrer/in lieferte die Waren pünktlich an die verschiedenen Supermärkte.,Dier LastkraftwagenfahrerIn lieferte die Waren pünktlich an die verschiedenen Supermärkte.
"Der Genussmensch genoss das Leben in vollen Zügen und liebte es, auf luxuriösen Partys zu feiern.","Der Lebemann genoss das Leben in vollen Zügen und liebte es, auf luxuriösen Partys zu feiern.","Die Lebefrau genoss das Leben in vollen Zügen und liebte es, auf luxuriösen Partys zu feiern.","Der Genussmensch genoss das Leben in vollen Zügen und liebte es, auf luxuriösen Partys zu feiern.","Der Genussmensch genoss das Leben in vollen Zügen und liebte es, auf luxuriösen Partys zu feiern.","Der Genussmensch genoss das Leben in vollen Zügen und liebte es, auf luxuriösen Partys zu feiern.","Der Genussmensch genoss das Leben in vollen Zügen und liebte es, auf luxuriösen Partys zu feiern.","Der Genussmensch genoss das Leben in vollen Zügen und liebte es, auf luxuriösen Partys zu feiern."
"Der Lehrberuf erfordert nicht nur Fachwissen, sondern auch pädagogisches Geschick.","Der Lehrerberuf erfordert nicht nur Fachwissen, sondern auch pädagogisches Geschick.","Der Lehrerinberuf erfordert nicht nur Fachwissen, sondern auch pädagogisches Geschick.","Der Lehrer:inberuf erfordert nicht nur Fachwissen, sondern auch pädagogisches Geschick.","Der Lehrer_inberuf erfordert nicht nur Fachwissen, sondern auch pädagogisches Geschick.","Der Lehrer*inberuf erfordert nicht nur Fachwissen, sondern auch pädagogisches Geschick.","Der Lehrer/inberuf erfordert nicht nur Fachwissen, sondern auch pädagogisches Geschick.","Der LehrerInberuf erfordert nicht nur Fachwissen, sondern auch pädagogisches Geschick."
In der Konferenz der Lehrkräfte wurden die neuen Schulrichtlinien besprochen.,In der Lehrerkonferenz wurden die neuen Schulrichtlinien besprochen.,In der Lehrerinkonferenz wurden die neuen Schulrichtlinien besprochen.,In der Lehrer:inkonferenz wurden die neuen Schulrichtlinien besprochen.,In der Lehrer_inkonferenz wurden die neuen Schulrichtlinien besprochen.,In der Lehrer*inkonferenz wurden die neuen Schulrichtlinien besprochen.,In der Lehrer/inkonferenz wurden die neuen Schulrichtlinien besprochen.,In der LehrerInkonferenz wurden die neuen Schulrichtlinien besprochen.
Am Pult der Lehrkraft erklärte dier Lehrkraft die Matheaufgaben.,Am Lehrerpult erklärte der Lehrer die Matheaufgaben.,Am Lehrerinpult erklärte die Lehrerin die Matheaufgaben.,Am Lehrer:inpult erklärte dier Lehrer:in die Matheaufgaben.,Am Lehrer_inpult erklärte dier Lehrer_in die Matheaufgaben.,Am Lehrer*inpult erklärte dier Lehrer*in die Matheaufgaben.,Am Lehrer/inpult erklärte dier Lehrer/in die Matheaufgaben.,Am LehrerInpult erklärte dier LehrerIn die Matheaufgaben.
Im Kollegiumszimmer tauschten sich die Lehrkäfte über ihre Erfahrungen und Unterrichtsstrategien aus.,Im Lehrerzimmer tauschten sich die Lehrer über ihre Erfahrungen und Unterrichtsstrategien aus.,Im Lehrerinzimmer tauschten sich die Lehrerinnen über ihre Erfahrungen und Unterrichtsstrategien aus.,Im Lehrer:inzimmer tauschten sich die Lehrer:innen über ihre Erfahrungen und Unterrichtsstrategien aus.,Im Lehrer_inzimmer tauschten sich die Lehrer_innen über ihre Erfahrungen und Unterrichtsstrategien aus.,Im Lehrer*inzimmer tauschten sich die Lehrer*innen über ihre Erfahrungen und Unterrichtsstrategien aus.,Im Lehrer/inzimmer tauschten sich die Lehrer/innen über ihre Erfahrungen und Unterrichtsstrategien aus.,Im LehrerInzimmer tauschten sich die LehrerInnen über ihre Erfahrungen und Unterrichtsstrategien aus.
"Der Ausbildende zeigte geduldig, wie man die Maschinen richtig bedient.","Der Lehrmeister zeigte geduldig, wie man die Maschinen richtig bedient.","Die Lehrmeisterin zeigte geduldig, wie man die Maschinen richtig bedient.","Dier Lehrmeister:in zeigte geduldig, wie man die Maschinen richtig bedient.","Dier Lehrmeister_in zeigte geduldig, wie man die Maschinen richtig bedient.","Dier Lehrmeister*in zeigte geduldig, wie man die Maschinen richtig bedient.","Dier Lehrmeister/in zeigte geduldig, wie man die Maschinen richtig bedient.","Dier LehrmeisterIn zeigte geduldig, wie man die Maschinen richtig bedient."
Die Leitung des Lehrstuhles veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.,Der Lehrstuhlinhaber veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.,Die Lehrstuhlinhaberin veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.,Dier Lehrstuhlinhaber:in veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.,Dier Lehrstuhlinhaber_in veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.,Dier Lehrstuhlinhaber*in veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.,Dier Lehrstuhlinhaber/in veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.,Dier LehrstuhlinhaberIn veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.
Die Leitenden eines Lehrstuhles hatten viele administrative Aufgaben und Forschungspflichten.,Die Lehrstuhlinhaber hatten viele administrative Aufgaben und Forschungspflichten.,Die Lehrstuhlinhaberinnen hatten viele administrative Aufgaben und Forschungspflichten.,Die Lehrstuhlinhaberinnen hatten viele administrative Aufgaben und Forschungspflichten.,Die Lehrstuhlinhaberinnen hatten viele administrative Aufgaben und Forschungspflichten.,Die Lehrstuhlinhaberinnen hatten viele administrative Aufgaben und Forschungspflichten.,Die Lehrstuhlinhaberinnen hatten viele administrative Aufgaben und Forschungspflichten.,Die Lehrstuhlinhaberinnen hatten viele administrative Aufgaben und Forschungspflichten.
Die Leitung des Lehrstuhls organisierte eine internationale Konferenz an der Universität.,Der Lehrstuhlleiter organisierte eine internationale Konferenz an der Universität.,Die Lehrstuhlleiterin organisierte eine internationale Konferenz an der Universität.,Dier Lehrstuhlleiter:in organisierte eine internationale Konferenz an der Universität.,Dier Lehrstuhlleiter_in organisierte eine internationale Konferenz an der Universität.,Dier Lehrstuhlleiter*in organisierte eine internationale Konferenz an der Universität.,Dier Lehrstuhlleiter/in organisierte eine internationale Konferenz an der Universität.,Dier LehrstuhlleiterIn organisierte eine internationale Konferenz an der Universität.
Die Leitenden eines Lehrstuhles betreuten zahlreiche Forschungsprojekte.,Die Lehrstuhlleiter betreuten zahlreiche Forschungsprojekte.,Die Lehrstuhlleiterinnen betreuten zahlreiche Forschungsprojekte.,Die Lehrstuhlleiter:innen betreuten zahlreiche Forschungsprojekte.,Die Lehrstuhlleiter_innen betreuten zahlreiche Forschungsprojekte.,Die Lehrstuhlleiter*innen betreuten zahlreiche Forschungsprojekte.,Die Lehrstuhlleiter/innen betreuten zahlreiche Forschungsprojekte.,Die LehrstuhlleiterInnen betreuten zahlreiche Forschungsprojekte.
Die leibeigene Person musste einen Großteil derer Ernte abgeben.,Der Leibeigene musste einen Großteil seiner Ernte abgeben.,Die Leibeigene musste einen Großteil ihrer Ernte abgeben.,Dier Leibeigene musste einen Großteil ihrer Ernte abgeben.,Dier Leibeigene musste einen Großteil ihrer Ernte abgeben.,Dier Leibeigene musste einen Großteil ihrer Ernte abgeben.,Dier Leibeigene musste einen Großteil ihrer Ernte abgeben.,Dier Leibeigene musste einen Großteil ihrer Ernte abgeben.
Die Leibeigenen hatten kaum Rechte und lebten unter schwierigen Bedingungen.,Die Leibeigenen hatten kaum Rechte und lebten unter schwierigen Bedingungen.,Die Leibeigenen hatten kaum Rechte und lebten unter schwierigen Bedingungen.,Die Leibeigenen hatten kaum Rechte und lebten unter schwierigen Bedingungen.,Die Leibeigenen hatten kaum Rechte und lebten unter schwierigen Bedingungen.,Die Leibeigenen hatten kaum Rechte und lebten unter schwierigen Bedingungen.,Die Leibeigenen hatten kaum Rechte und lebten unter schwierigen Bedingungen.,Die Leibeigenen hatten kaum Rechte und lebten unter schwierigen Bedingungen.
Die leiharbeitnehmende Person wurde für ein temporäres Projekt in die Firma geholt.,Der Leiharbeiternehmer wurde für ein temporäres Projekt in die Firma geholt.,Die Leiharbeiternehmerin wurde für ein temporäres Projekt in die Firma geholt.,Dier Leiharbeiternehmer:in wurde für ein temporäres Projekt in die Firma geholt.,Dier Leiharbeiternehmer_in wurde für ein temporäres Projekt in die Firma geholt.,Dier Leiharbeiternehmer*in wurde für ein temporäres Projekt in die Firma geholt.,Dier Leiharbeiternehmer/in wurde für ein temporäres Projekt in die Firma geholt.,Dier LeiharbeiternehmerIn wurde für ein temporäres Projekt in die Firma geholt.
Die Leistung beziehende Person erhielt monatlich finanzielle Unterstützung vom Staat.,Der Leistungsbezieher erhielt monatlich finanzielle Unterstützung vom Staat.,Die Leistungsbezieherin erhielt monatlich finanzielle Unterstützung vom Staat.,Dier Leistungsbezieher:in erhielt monatlich finanzielle Unterstützung vom Staat.,Dier Leistungsbezieher_in erhielt monatlich finanzielle Unterstützung vom Staat.,Dier Leistungsbezieher*in erhielt monatlich finanzielle Unterstützung vom Staat.,Dier Leistungsbezieher/in erhielt monatlich finanzielle Unterstützung vom Staat.,Dier LeistungsbezieherIn erhielt monatlich finanzielle Unterstützung vom Staat.
Die leistungsempfangende Person musste einen Antrag auf Sozialhilfe ausfüllen.,Der Leistungsempfänger musste einen Antrag auf Sozialhilfe ausfüllen.,Die Leistungsempfängerin musste einen Antrag auf Sozialhilfe ausfüllen.,Dier Leistungsempfänger:in musste einen Antrag auf Sozialhilfe ausfüllen.,Dier Leistungsempfänger_in musste einen Antrag auf Sozialhilfe ausfüllen.,Dier Leistungsempfänger*in musste einen Antrag auf Sozialhilfe ausfüllen.,Dier Leistungsempfänger/in musste einen Antrag auf Sozialhilfe ausfüllen.,Dier LeistungsempfängerIn musste einen Antrag auf Sozialhilfe ausfüllen.
Als leistungstragende Person im Unternehmen erhielt dey eine Beförderung.,"Als Leistungsträger im Unternehmen erhielt er eine Beförderung.
","Als Leistungsträgerin im Unternehmen erhielt sie eine Beförderung.
","Als Leistungsträger:in im Unternehmen erhielt dey eine Beförderung.
","Als Leistungsträger_in im Unternehmen erhielt dey eine Beförderung.
","Als Leistungsträger*in im Unternehmen erhielt dey eine Beförderung.
","Als Leistungsträger/in im Unternehmen erhielt dey eine Beförderung.
","Als LeistungsträgerIn im Unternehmen erhielt dey eine Beförderung.
"
Die Anmerkungen des Lektorats verbesserten die Qualität des Buches.,Die Anmerkungen des Lektors verbesserten die Qualität des Buches.,Die Anmerkungen der Lektorin verbesserten die Qualität des Buches.,Die Anmerkungen dier Lektor:in verbesserten die Qualität des Buches.,Die Anmerkungen dier Lektor_in verbesserten die Qualität des Buches.,Die Anmerkungen dier Lektor*in verbesserten die Qualität des Buches.,Die Anmerkungen dier Lektor/in verbesserten die Qualität des Buches.,Die Anmerkungen dier LektorIn verbesserten die Qualität des Buches.
Dey bewarb sich auf die freie Lektoratsstelle bei einem renommierten Verlag.,Er bewarb sich auf die freie Lektorstelle bei einem renommierten Verlag.,Sie bewarb sich auf die freie Lektorinstelle bei einem renommierten Verlag.,Dey bewarb sich auf die freie Lektor:instelle bei einem renommierten Verlag.,Dey bewarb sich auf die freie Lektor_instelle bei einem renommierten Verlag.,Dey bewarb sich auf die freie Lektor*instelle bei einem renommierten Verlag.,Dey bewarb sich auf die freie Lektor/instelle bei einem renommierten Verlag.,Dey bewarb sich auf die freie LektorInstelle bei einem renommierten Verlag.
"Die lernbegleitende Person unterstützte die Lernenden bei ihren Aufgaben und half ihnen, ihre Ziele zu erreichen.","Der Lernbegleiter unterstützte die Schüler bei ihren Aufgaben und half ihnen, ihre Ziele zu erreichen.","Die Lernbegleiterin unterstützte die Schülerinnen bei ihren Aufgaben und half ihnen, ihre Ziele zu erreichen.","Dier Lernbegleiter:in unterstützte die Schüler:innen bei ihren Aufgaben und half ihnen, ihre Ziele zu erreichen.","Dier Lernbegleiter_in unterstützte die Schüler_innen bei ihren Aufgaben und half ihnen, ihre Ziele zu erreichen.","Dier Lernbegleiter*in unterstützte die Schüler*innen bei ihren Aufgaben und half ihnen, ihre Ziele zu erreichen.","Dier Lernbegleiter/in unterstützte die Schüler/innen bei ihren Aufgaben und half ihnen, ihre Ziele zu erreichen.","Dier LernbegleiterIn unterstützte die SchülerInnen bei ihren Aufgaben und half ihnen, ihre Ziele zu erreichen."
